Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
1.9000000000000e-001	       0.5275134	       -1.446198
1.9125000000000e-001	       0.5276182	       -1.475003
1.9250000000000e-001	       0.5274591	       -1.482122
1.9375000000000e-001	       0.5179619	       -1.481424
1.9500000000000e-001	        0.504274	       -1.472615
1.9625000000000e-001	       0.4834953	       -1.423997
1.9750000000000e-001	       0.4585572	       -1.355675
1.9875000000000e-001	       0.4290015	       -1.264803
2.0000000000000e-001	       0.3937819	       -1.166471
2.0125000000000e-001	       0.3593213	       -1.052427
2.0250000000000e-001	       0.3156013	      -0.9276255
2.0375000000000e-001	       0.2710251	      -0.7970889
2.0500000000000e-001	        0.224058	      -0.6585442
2.0625000000000e-001	       0.1756139	      -0.4984225
2.0750000000000e-001	       0.1236592	      -0.3257332
2.0875000000000e-001	      0.07227327	      -0.1491202
2.1000000000000e-001	      0.01817914	      0.01685851
2.1125000000000e-001	     -0.03778017	       0.1949954
2.1250000000000e-001	     -0.08801247	       0.3716843
2.1375000000000e-001	      -0.1415281	       0.5444489
2.1500000000000e-001	      -0.1926687	       0.7266898
2.1625000000000e-001	      -0.2437101	       0.8800858
2.1750000000000e-001	      -0.2905609	        1.029367
2.1875000000000e-001	      -0.3335731	        1.162487
2.2000000000000e-001	      -0.3748999	        1.291559
2.2125000000000e-001	      -0.4047027	        1.407639
2.2250000000000e-001	      -0.4336366	        1.502638
2.2375000000000e-001	      -0.4561103	        1.568719
2.2500000000000e-001	       -0.471619	        1.632158
2.2625000000000e-001	      -0.4806985	        1.667352
2.2750000000000e-001	      -0.4829571	        1.703069
2.2875000000000e-001	      -0.4782044	        1.715724
2.3000000000000e-001	      -0.4699788	        1.698064
2.3125000000000e-001	      -0.4526242	        1.663494
2.3250000000000e-001	      -0.4269326	        1.606354
2.3375000000000e-001	      -0.3997161	        1.557895
2.3500000000000e-001	      -0.3662356	        1.476431
2.3625000000000e-001	      -0.3292804	        1.368678
2.3750000000000e-001	      -0.2869518	        1.264309
2.3875000000000e-001	      -0.2427998	        1.135388
2.4000000000000e-001	      -0.1973353	       0.9857869
2.4125000000000e-001	      -0.1376827	       0.8378619
2.4250000000000e-001	     -0.08478227	       0.6770513
2.4375000000000e-001	     -0.02888658	       0.4948443
2.4500000000000e-001	      0.02893146	       0.3068408
2.4625000000000e-001	      0.08714721	       0.1292378
2.4750000000000e-001	       0.1443758	     -0.05080304
2.4875000000000e-001	       0.2000444	      -0.2083354
2.5000000000000e-001	       0.2514926	      -0.3852868
2.5125000000000e-001	       0.3014656	      -0.5557019
2.5250000000000e-001	       0.3506289	       -0.717787
2.5375000000000e-001	       0.3916655	       -0.858305
2.5500000000000e-001	       0.4285113	      -0.9838589
2.5625000000000e-001	       0.4580288	       -1.098093
2.5750000000000e-001	        0.483301	       -1.200536
2.5875000000000e-001	       0.5018108	       -1.292038
2.6000000000000e-001	       0.5122485	       -1.375203
2.6125000000000e-001	       0.5242849	       -1.441153
2.6250000000000e-001	       0.5253354	       -1.484123
2.6375000000000e-001	       0.5212934	       -1.500399
2.6500000000000e-001	       0.5126537	       -1.499578
2.6625000000000e-001	        0.500184	       -1.476648
2.6750000000000e-001	       0.4812681	       -1.425679
2.6875000000000e-001	       0.4594683	        -1.37821
2.7000000000000e-001	       0.4316918	       -1.312041
2.7125000000000e-001	       0.3986502	       -1.221563
2.7250000000000e-001	       0.3663589	       -1.108421
2.7375000000000e-001	       0.3256559	      -0.9619573
2.7500000000000e-001	       0.2823624	      -0.8277614
2.7625000000000e-001	       0.2346291	      -0.6920661
2.7750000000000e-001	       0.1845697	      -0.5321395
2.7875000000000e-001	       0.1314439	      -0.3709405
2.8000000000000e-001	      0.07579511	      -0.2133743
2.8125000000000e-001	      0.02364786	     -0.03709124
2.8250000000000e-001	     -0.03228627	       0.1300697
2.8375000000000e-001	     -0.08699497	       0.3065592
2.8500000000000e-001	      -0.1409262	       0.4792309
2.8625000000000e-001	      -0.1908618	       0.6534851
2.8750000000000e-001	      -0.2396857	       0.8124099
2.8875000000000e-001	      -0.2855995	       0.9579659
2.9000000000000e-001	      -0.3278589	        1.113668
2.9125000000000e-001	      -0.3664444	        1.235322
2.9250000000000e-001	      -0.3965532	        1.366809
2.9375000000000e-001	      -0.4247388	         1.47002
2.9500000000000e-001	      -0.4470286	        1.551144
2.9625000000000e-001	      -0.4643229	         1.60158
2.9750000000000e-001	      -0.4747635	        1.650112
2.9875000000000e-001	      -0.4807401	        1.676858
3.0000000000000e-001	      -0.4828787	        1.691117
3.0125000000000e-001	      -0.4682485	        1.682193
3.0250000000000e-001	      -0.4548354	        1.656827
3.0375000000000e-001	        -0.43451	        1.615429
3.0500000000000e-001	      -0.4077428	        1.555709
3.0625000000000e-001	      -0.3739777	        1.475181
3.0750000000000e-001	      -0.3366282	        1.362747
3.0875000000000e-001	      -0.2938896	        1.244841
3.1000000000000e-001	      -0.2500923	        1.125625
3.1125000000000e-001	      -0.1989705	       0.9802144
3.1250000000000e-001	      -0.1413693	       0.8303282
3.1375000000000e-001	     -0.08640466	       0.6763236
3.1500000000000e-001	     -0.02940941	        0.520161
3.1625000000000e-001	      0.02579926	       0.3543826
3.1750000000000e-001	      0.08299119	       0.1731869
3.1875000000000e-001	       0.1378078	    -0.008113696
3.2000000000000e-001	       0.1879142	      -0.1970126
3.2125000000000e-001	       0.2458911	      -0.3447978
3.2250000000000e-001	       0.2942627	      -0.5106557
3.2375000000000e-001	       0.3401704	      -0.6808357
3.2500000000000e-001	       0.3814345	       -0.812725
3.2625000000000e-001	       0.4199702	      -0.9518764
3.2750000000000e-001	         0.45174	       -1.070989
3.2875000000000e-001	       0.4792888	       -1.191565
3.3000000000000e-001	       0.5007888	        -1.29108
3.3125000000000e-001	       0.5144384	       -1.380536
3.3250000000000e-001	       0.5268768	       -1.442694
3.3375000000000e-001	       0.5307146	       -1.491891
3.3500000000000e-001	       0.5281284	       -1.517876
3.3625000000000e-001	       0.5193752	        -1.52099
3.3750000000000e-001	       0.5064009	       -1.509268
3.3875000000000e-001	       0.4864194	       -1.483072
3.4000000000000e-001	       0.4608658	       -1.422958
3.4125000000000e-001	       0.4359697	       -1.348864
3.4250000000000e-001	       0.4020079	       -1.264173
3.4375000000000e-001	       0.3664503	       -1.148486
3.4500000000000e-001	       0.3268522	       -1.021106
3.4625000000000e-001	       0.2851499	      -0.8945783
3.4750000000000e-001	       0.2387371	       -0.748181
3.4875000000000e-001	       0.1911791	      -0.5861992
3.5000000000000e-001	       0.1402047	      -0.4231117
3.5125000000000e-001	      0.08623252	      -0.2395772
3.5250000000000e-001	      0.03567052	     -0.07652946
3.5375000000000e-001	     -0.01924101	       0.1034395
3.5500000000000e-001	     -0.07246688	       0.2816986
3.5625000000000e-001	      -0.1275998	       0.4483856
3.5750000000000e-001	      -0.1805882	       0.6233804
3.5875000000000e-001	      -0.2312855	       0.7955942
3.6000000000000e-001	      -0.2817707	       0.9345907
3.6125000000000e-001	      -0.3218471	        1.078549
3.6250000000000e-001	      -0.3618721	        1.201607
